task,room_type,size_category,budget_level,base_cost,cost_per_m2,labor_hours_base,labor_hours_per_m2,complexity_factor,seasonal_adjustment
tile_removal,bathroom,small,budget_conscious,50,15,2,1.5,1.0,0.95
tile_removal,bathroom,small,standard,75,20,2,1.5,1.0,1.0
tile_removal,bathroom,small,premium,100,25,2,1.5,1.0,1.05
tile_removal,bathroom,medium,budget_conscious,75,15,3,1.5,1.1,0.95
tile_removal,bathroom,medium,standard,100,20,3,1.5,1.1,1.0
tile_removal,bathroom,medium,premium,125,25,3,1.5,1.1,1.05
tile_removal,bathroom,large,budget_conscious,100,15,4,1.3,1.2,0.95
tile_removal,bathroom,large,standard,125,20,4,1.3,1.2,1.0
tile_removal,bathroom,large,premium,150,25,4,1.3,1.2,1.05
plumbing,bathroom,small,budget_conscious,180,25,4,2.5,1.4,0.95
plumbing,bathroom,small,standard,250,35,4,2.5,1.4,1.0
plumbing,bathroom,small,premium,400,50,4,2.5,1.4,1.05
plumbing,bathroom,medium,budget_conscious,220,25,5,2.5,1.5,0.95
plumbing,bathroom,medium,standard,300,35,5,2.5,1.5,1.0
plumbing,bathroom,medium,premium,480,50,5,2.5,1.5,1.05
plumbing,bathroom,large,budget_conscious,280,25,6,2.2,1.6,0.95
plumbing,bathroom,large,standard,380,35,6,2.2,1.6,1.0
plumbing,bathroom,large,premium,580,50,6,2.2,1.6,1.05
toilet_replacement,bathroom,any,budget_conscious,120,0,3,0,1.1,0.95
toilet_replacement,bathroom,any,standard,280,0,3,0,1.1,1.0
toilet_replacement,bathroom,any,premium,650,0,3,0,1.1,1.05
vanity_installation,bathroom,small,budget_conscious,200,15,4,1.0,1.2,0.95
vanity_installation,bathroom,small,standard,450,25,4,1.0,1.2,1.0
vanity_installation,bathroom,small,premium,900,40,4,1.0,1.2,1.05
vanity_installation,bathroom,medium,budget_conscious,280,15,5,1.0,1.3,0.95
vanity_installation,bathroom,medium,standard,550,25,5,1.0,1.3,1.0
vanity_installation,bathroom,medium,premium,1100,40,5,1.0,1.3,1.05
vanity_installation,bathroom,large,budget_conscious,350,15,6,0.8,1.4,0.95
vanity_installation,bathroom,large,standard,650,25,6,0.8,1.4,1.0
vanity_installation,bathroom,large,premium,1300,40,6,0.8,1.4,1.05
painting,bathroom,small,budget_conscious,30,8,1,0.8,0.9,0.95
painting,bathroom,small,standard,45,12,1,0.8,0.9,1.0
painting,bathroom,small,premium,65,18,1,0.8,0.9,1.05
painting,bathroom,medium,budget_conscious,50,8,1.5,0.8,1.0,0.95
painting,bathroom,medium,standard,75,12,1.5,0.8,1.0,1.0
painting,bathroom,medium,premium,105,18,1.5,0.8,1.0,1.05
painting,bathroom,large,budget_conscious,75,8,2,0.7,1.1,0.95
painting,bathroom,large,standard,110,12,2,0.7,1.1,1.0
painting,bathroom,large,premium,155,18,2,0.7,1.1,1.05
floor_installation,bathroom,small,budget_conscious,100,35,3,2.0,1.3,0.95
floor_installation,bathroom,small,standard,150,55,3,2.0,1.3,1.0
floor_installation,bathroom,small,premium,250,85,3,2.0,1.3,1.05
floor_installation,bathroom,medium,budget_conscious,150,35,4,2.0,1.4,0.95
floor_installation,bathroom,medium,standard,225,55,4,2.0,1.4,1.0
floor_installation,bathroom,medium,premium,375,85,4,2.0,1.4,1.05
floor_installation,bathroom,large,budget_conscious,200,35,5,1.8,1.5,0.95
floor_installation,bathroom,large,standard,300,55,5,1.8,1.5,1.0
floor_installation,bathroom,large,premium,500,85,5,1.8,1.5,1.05
